Nome,Club,Stagione,Overall,Ruolo
M. Rog,Napoli,18,76,"COC, CC"
Felipe,SPAL,18,75,DC
P. Cannavaro,Sassuolo,18,75,DC
A. Bizzarri,Udinese,18,75,POR
E. Moretti,Torino,18,75,DC
E. Hallfreðsson,Udinese,18,75,"CC, CDC"
L. Rigoni,Genoa,18,75,"CC, CDC"
Rafael,Cagliari,18,75,POR
C. Maggio,Napoli,18,75,TD
M. Silvestre,Sampdoria,18,75,DC
S. Floccari,SPAL,18,75,ATT
N. Spolli,Genoa,18,75,DC
S. Missiroli,Sassuolo,18,75,CC
A. Cerci,Hellas Verona,18,75,AD
A. Poli,Bologna,18,75,CC
F. Đorđević,Lazio,18,75,ATT
E. Zukanović,Genoa,18,75,"DC, TS"
A. Ioniţă,Cagliari,18,75,"CC, COC, CDC"
S. Taïder,Bologna,18,75,"CC, CDC"
D. D'Ambrosio,Inter,18,75,TD
João Pedro,Cagliari,18,75,"COC, CC"
R. Inglese,Chievo Verona,18,75,ATT
I. Strinić,Sampdoria,18,75,TS
R. Freuler,Atalanta,18,75,CC
R. Álvarez,Sampdoria,18,75,"COC, AT"
A. Ciciretti,Benevento,18,75,"COC, AS, AD"
G. González,Bologna,18,75,DC
M. de Roon,Atalanta,18,75,"CC, CDC"
D. Cataldi,Benevento,18,75,"CC, CDC"
K. Linetty,Sampdoria,18,75,"CC, CDC"
D. Lazović,Genoa,18,75,"AD, AS"
S. Fofana,Udinese,18,75,"CC, CDC"
G. Gómez,Milan,18,75,DC
L. Rizzo,SPAL,18,75,"ED, CC"
S. Scuffet,Udinese,18,75,POR
A. Barreca,Torino,18,75,TS
G. Donsah,Bologna,18,75,CC
A. Conti,Milan,18,75,"ED, TD"
L. Torreira,Sampdoria,18,75,CC
S. Sensi,Sassuolo,18,75,"CC, CDC"
R. Bajić,Udinese,18,75,"ATT, COC"
F. Chiesa,Fiorentina,18,75,"ED, AT"
G. Pandev,Genoa,18,74,"ATT, COC"
D. Maietta,Bologna,18,74,DC
M. López,Udinese,18,74,ATT
E. Barreto,Sampdoria,18,74,"CC, CDC"
D. Padelli,Inter,18,74,POR
B. Dramé,Atalanta,18,74,"TS, ES"
A. Costa,Benevento,18,74,DC
F. Peluso,Sassuolo,18,74,"TS, DC"
F. Cacciatore,Chievo Verona,18,74,"TD, TS"
M. Sau,Cagliari,18,74,"ATT, AT"
G. Angella,Udinese,18,74,DC
Diego Farías,Cagliari,18,74,"AT, COC, AD, AS"
Da Costa,Bologna,18,74,POR
S. Armenteros,Benevento,18,74,ATT
N. Rigoni,Chievo Verona,18,74,"CC, CDC"
L. Sepe,Napoli,18,74,POR
Rafael,Napoli,18,74,POR
D. Falcinelli,Sassuolo,18,74,ATT
Rômulo,Hellas Verona,18,74,"CC, TD"
F. Đuričić,Sampdoria,18,74,"COC, AS"
A. Ragusa,Sassuolo,18,74,AS
A. Acquah,Torino,18,74,CC
Ryder,Udinese,18,74,"ATT, AT"
Gabriel,Milan,18,74,POR
R. Centurión,Genoa,18,74,"AS, COC"
T. Strakosha,Lazio,18,74,POR
R. De Paul,Udinese,18,74,"AD, COC, ES"
M. Oikonomou,SPAL,18,74,DC
M. Locatelli,Milan,18,74,CDC
G. Ferrari,Sampdoria,18,74,DC
A. Meret,SPAL,18,74,POR
A. Masina,Bologna,18,74,TS
Á. Nagy,Bologna,18,74,CDC
M. Škriniar,Inter,18,74,DC
Pol Lirola,Sassuolo,18,74,TD
C. Ünder,Roma,18,74,"ED, ES"
S. Padoin,Cagliari,18,73,"TD, CC, TS"
M. Gobbi,Chievo Verona,18,73,TS
C. Molinaro,Torino,18,73,"TS, ES"
S. Pellissier,Chievo Verona,18,73,ATT
J. Zúñiga,Napoli,18,73,"TS, ES"
V. Torosidis,Bologna,18,73,"TD, TS"
M. Gazzola,Sassuolo,18,73,TD
M. Antenucci,SPAL,18,73,ATT
V. Belec,Benevento,18,73,POR
J. Obi,Torino,18,73,CC
Dodô,Sampdoria,18,73,"ES, TS"
Y. Nagatomo,Inter,18,73,"TS, TD"
J. Sala,Sampdoria,18,73,"TD, ED, CC"
L. Crisetig,Bologna,18,73,"CC, CDC"
M. Büchel,Hellas Verona,18,73,"CC, CDC"
B. Bereszyński,Sampdoria,18,73,TD
A. Cornelius,Atalanta,18,73,ATT
A. Gomis,SPAL,18,73,POR
G. Caprari,Sampdoria,18,73,"AT, ATT, COC"
F. Lucioni,Benevento,18,73,DC
M. Bianchetti,Hellas Verona,18,73,DC
M. Pucciarelli,Chievo Verona,18,73,"ATT, AT"
A. Lazaar,Benevento,18,73,"TS, ES"
F. Helander,Bologna,18,73,DC
E. Krafth,Bologna,18,73,TD
D. Bessa,Hellas Verona,18,73,"CC, AD"
T. Letschert,Sassuolo,18,73,DC
V. Laurini,Fiorentina,18,73,TD
F. Ceccherini,Crotone,18,73,DC
E. Pulgar,Bologna,18,73,"CDC, CC"
F. Di Francesco,Bologna,18,73,"AS, AT, AD"
Samir,Udinese,18,73,"TS, DC"
A. Petagna,Atalanta,18,73,ATT
G. Letizia,Benevento,18,73,"TS, ED"
J. Palomino,Atalanta,18,73,DC
S. Perica,Udinese,18,73,ATT
F. Melchiorri,Cagliari,18,73,ATT
L. Mazzitelli,Sassuolo,18,73,"CDC, CC"
A. Adnan,Udinese,18,73,"TS, ES"
Alex Berenguer,Torino,18,73,"ADA, ASA, ES"
D. Calabria,Milan,18,73,TD
M. Lazzari,SPAL,18,73,ED
G. Pegolo,Sassuolo,18,72,POR
A. Cordaz,Crotone,18,72,POR
R. Palladino,Genoa,18,72,"AS, AD, ATT"
N. Frey,Chievo Verona,18,72,TD
D. Di Gennaro,Lazio,18,72,CC
S. Souprayen,Hellas Verona,18,72,TS
E. Lamanna,Genoa,18,72,POR
B. Nuytinck,Udinese,18,72,DC
V. Regini,Sampdoria,18,72,"TS, DC"
I. Cofie,Genoa,18,72,"CC, CDC"
L. Memushaj,Benevento,18,72,CC
C. Biraghi,Fiorentina,18,72,"TS, ES"
M. Capuano,Cagliari,18,72,"DC, TS"
L. Ceppitelli,Cagliari,18,72,DC
A. Cragno,Cagliari,18,72,POR
B. Cristante,Atalanta,18,72,"CC, CDC"
João Schmidt,Atalanta,18,72,"CC, CDC, TS"
B. Petković,Bologna,18,72,ATT
M. Thiam,Juventus,18,72,"ATT, ED"
S. Šimić,Crotone,18,72,DC
F. Ricci,Genoa,18,72,"AD, AS"
L. Boyé,Torino,18,72,"ATT, AS"
T. Castagne,Atalanta,18,72,TD
E. Goldaniga,Sassuolo,18,72,DC
K. Lasagna,Udinese,18,72,ATT
Lyanco,Torino,18,72,DC
A. Ounas,Napoli,18,72,"AD, ES"
P. Brlek,Genoa,18,72,"COC, CC, CDC"
A. Barák,Udinese,18,72,"COC, CC, AT"
C. Puggioni,Sampdoria,18,71,POR
D. Dessena,Cagliari,18,71,"CC, TD"
A. Rosi,Genoa,18,71,TD
M. Coda,Benevento,18,71,ATT
P. Schiattarella,SPAL,18,71,"CC, ED, TD"
L. Cabrera,Crotone,18,71,"DC, TS"
F. Pisacane,Cagliari,18,71,"DC, TD"
A. Caracciolo,Hellas Verona,18,71,DC
B. Zuculini,Hellas Verona,18,71,"CC, CDC"
L. Antei,Benevento,18,71,DC
V. Verre,Sampdoria,18,71,CC
Y. Chibsah,Benevento,18,71,"CC, CDC"
M. Rohdén,Crotone,18,71,"ED, CC"
P. Iemmello,Benevento,18,71,ATT
B. Drągowski,Fiorentina,18,71,POR
J. Mauri,Milan,18,71,"CC, CDC"
H. Hateboer,Atalanta,18,71,TD
A. Grassi,SPAL,18,71,CC
A. Marušić,Lazio,18,71,"TS, TD, ED"
Y. Karamoh,Inter,18,71,"AD, ED, AS"
L. Mora,SPAL,18,71,"CC, ES"
K. Bonifazi,Torino,18,71,DC
B. Lobonţ,Roma,18,70,POR
D. Biondini,Sassuolo,18,70,CC
N. Viola,Benevento,18,70,"CC, CDC"
A. Taarabt,Genoa,18,70,"ES, ED, COC"
N. Cherubin,Hellas Verona,18,70,DC
A. Budimir,Crotone,18,70,ATT
B. Salamon,SPAL,18,70,"DC, CDC"
F. Zuculini,Hellas Verona,18,70,CC
M. D'Alessandro,Benevento,18,70,"ED, AD"
A. Stoian,Crotone,18,70,"ES, AS, AD"
N. Giannetti,Cagliari,18,70,"ATT, AS"
M. Faraoni,Crotone,18,70,"TD, ED"
A. Seculin,Chievo Verona,18,70,POR
L. Landre,Genoa,18,70,DC
A. Galabinov,Genoa,18,70,ATT
N. Murru,Sampdoria,18,70,TS
M. Sampirisi,Crotone,18,70,"TD, DC"
M. Stępiński,Chievo Verona,18,70,ATT
A. Brignoli,Benevento,18,70,POR
L. Capezzi,Sampdoria,18,70,CC
P. Gollini,Atalanta,18,70,POR
L. Garritano,Chievo Verona,18,70,"AS, AD"
J. Vergara,Milan,18,70,DC
I. Bubnjić,Udinese,18,70,DC
F. Mattiello,SPAL,18,70,"TD, TS"
L. Venuti,Benevento,18,70,TD
R. Gosens,Atalanta,18,70,TS
S. Bastien,Chievo Verona,18,70,"COC, CC"
N. Barella,Cagliari,18,70,CC
D. Verde,Hellas Verona,18,70,"AD, ATT, AT, ED"
A. Gnoukouri,Inter,18,70,CC
M. Olivera,Fiorentina,18,70,"TS, ES"
N. Milenković,Fiorentina,18,70,DC
A. Cossu,Cagliari,18,69,"AS, AT"
D. Pavlovic,Crotone,18,69,TS
C. Pinsoglio,Juventus,18,69,POR
M. Silvestri,Hellas Verona,18,69,POR
J. Stryger Larsen,Udinese,18,69,TD
B. Martella,Crotone,18,69,"TS, ES"
M. Trotta,Crotone,18,69,ATT
Patric,Lazio,18,69,"TD, CC"
I. Mbaye,Bologna,18,69,"TD, ED"
M. Fossati,Hellas Verona,18,69,CC
G. Iñíguez,Udinese,18,69,"CC, CDC"
C. Lombardi,Benevento,18,69,"AS, AD"
M. Cremonesi,SPAL,18,69,DC
A. Barberis,Crotone,18,69,CC
A. Ferrari,Hellas Verona,18,69,"TD, DC"
I. Vargić,Lazio,18,69,POR
Ewandro,Udinese,18,69,"ATT, ES, COC"
J. Andersen,Sampdoria,18,69,DC
S. Väisänen,SPAL,18,69,DC
V. Milinković-Savić,Torino,18,69,POR
G. Gaudino,Chievo Verona,18,69,"CC, CDC"
R. Mandragora,Crotone,18,69,"CC, DC"
C. Keita,Bologna,18,69,"TS, ASA"
R. Bentancur,Juventus,18,69,CC
D. Ivan,Sampdoria,18,69,"ED, CC"
Lee Seung Woo,Hellas Verona,18,69,"AS, ATT, COC"
C. Adjapong,Sassuolo,18,69,"TD, ED"
R. Orsolini,Atalanta,18,69,"AD, ED"
A. Balić,Udinese,18,69,COC
A. Ajeti,Crotone,18,68,DC
A. Tonev,Crotone,18,68,"AD, ED"
M. Valoti,Hellas Verona,18,68,"CC, COC"
Nicolas,Hellas Verona,18,68,POR
P. Faragò,Cagliari,18,68,"CC, COC, TD"
S. Gustafson,Torino,18,68,"CC, COC"
D. Biraschi,Genoa,18,68,"DC, TD"
F. Vicari,SPAL,18,68,DC
Simy,Crotone,18,68,ATT
F. Avenatti,Bologna,18,68,ATT
V. Parigini,Benevento,18,68,"AS, AD, COC, ATT"
M. Zaccagni,Hellas Verona,18,68,CC
D. Kownacki,Sampdoria,18,68,ATT
G. Puşcaş,Benevento,18,68,ATT
C. Dell'Orco,Sassuolo,18,68,TS
A. Murgia,Lazio,18,68,"CC, CDC"
F. Migliore,Genoa,18,67,TS
M. Albertazzi,Hellas Verona,18,67,TS
S. Laner,Hellas Verona,18,67,CC
O. Kragl,Crotone,18,67,"ES, CC"
B. Djimsiti,Benevento,18,67,DC
P. Konate,SPAL,18,67,"TS, ES"
B. Perea,Lazio,18,67,ATT
C. Falletti,Bologna,18,67,"COC, AD"
M. Bani,Chievo Verona,18,67,DC
S. Ichazo,Torino,18,67,POR
R. Zekhnini,Fiorentina,18,67,"AS, AD"
Gerson,Roma,18,67,CC
S. Umar,Torino,18,67,ATT
A. Mallé,Udinese,18,67,"ED, ES, CC"
F. Coppola,Hellas Verona,18,66,POR
A. Donnarumma,Milan,18,66,POR
S. Miangue,Cagliari,18,66,TS
L. Crecco,Lazio,18,66,"CC, ES"
M. Fares,Hellas Verona,18,66,"ES, AS"
C. Oikonomidis,Lazio,18,66,ES
O. Orji,Bologna,18,66,AS
F. Melara,Benevento,18,65,"ED, AD, ES, COC"
E. Schiavon,SPAL,18,65,"CC, CDC"
N. Jaadi,Udinese,18,65,"AD, AS, ES"
M. Tounkara,Lazio,18,65,ATT
P. Jaroszyński,Chievo Verona,18,65,TS
D. Mangni,Atalanta,18,65,ATT
F. Costa,SPAL,18,65,"ES, ASA"
G. Pezzella,Udinese,18,65,"TS, ES"
Leandrinho,Napoli,18,65,COC
T. Rodríguez,Genoa,18,65,ED
G. Marchegiani,SPAL,18,65,POR
P. Cutrone,Milan,18,65,ATT
Z. Vanheusden,Inter,18,65,DC
T. Berni,Inter,18,64,POR
L. Zima,Genoa,18,64,POR
G. Di Chiara,Benevento,18,64,"TS, ES"
E. Bearzotti,Hellas Verona,18,64,"AD, AS"
M. Vitale,SPAL,18,64,CC
G. Scamacca,Sassuolo,18,64,ATT
G. Felicioli,Hellas Verona,18,64,"TS, ES"
A. Deiola,Cagliari,18,64,CC
F. Cassata,Sassuolo,18,64,"CC, COC"
M. Kean,Hellas Verona,18,64,ATT
A. Bastoni,Atalanta,18,64,DC
L. Crosta,Cagliari,18,64,POR
A. Gravillon,Benevento,18,64,DC
A. Santurro,Bologna,18,63,POR
F. Bonazzoli,SPAL,18,63,ATT
F. Romagna,Cagliari,18,63,DC
I. Hagi,Fiorentina,18,63,"AD, COC, ATT"
M. Tumminello,Crotone,18,63,ATT
F. Melegoni,Atalanta,18,63,CC
Pedro Neto,Lazio,18,63,ATT
D. Frattesi,Sassuolo,18,63,CC
N. Zanellato,Milan,18,63,CC
M. Léris,Chievo Verona,18,63,ATT
N. Garmendia,Udinese,18,63,"COC, AS"
Barbosa,SPAL,18,63,ATT
A. Romero,Crotone,18,63,CC
C. Suljic,Crotone,18,62,CC
M. Festa,Crotone,18,62,POR
A. Nura,Roma,18,62,TD
G. Crociata,Crotone,18,62,"COC, AT"
A. Pinamonti,Inter,18,62,ATT
F. Brignani,Bologna,18,62,DC
A. Tozzo,Sampdoria,18,61,POR
G. Guerrieri,Lazio,18,61,POR
M. Gatto,Chievo Verona,18,61,"AS, AD, COC"
S. Pontisso,Udinese,18,61,"CC, CDC"
J. Valencia,Bologna,18,61,CC
S. Edera,Torino,18,61,AD
Luiz Felipe,Lazio,18,61,DC
P. Hristov,Fiorentina,18,61,DC
M. Gabbia,Milan,18,61,DC
E. Vignato,Chievo Verona,18,61,COC
G. Gori,Fiorentina,18,61,ATT
B. Mikulic,Sampdoria,18,61,DC
N. Haas,Atalanta,18,60,"CC, CDC"
A. Nalini,Crotone,18,60,AD
G. Mancini,Atalanta,18,60,DC
S. Palombi,Lazio,18,60,"ATT, AS, AD"
F. Della Giovanna,SPAL,18,60,DC
S. Omeonga,Genoa,18,60,"CC, CDC"
B. Gyamfi,Benevento,18,60,"TD, DC"
F. De Paoli,Chievo Verona,18,60,ED
A. Confente,Chievo Verona,18,60,POR
S. Lo Faso,Fiorentina,18,60,"AT, COC, AS"
L. Vido,Atalanta,18,60,ATT
A. Kotnik,Crotone,18,60,COC
Bruno Jordão,Lazio,18,60,CC
A. Bellemo,SPAL,18,59,CC
L. Del Pinto,Benevento,18,59,"CDC, CC"
M. De Luca,Torino,18,59,ATT
A. Guarnone,Milan,18,59,POR
F. Pavoni,Chievo Verona,18,59,POR
G. Borello,Crotone,18,59,AD
L. Ranieri,Fiorentina,18,59,TS
F. Rossi,Atalanta,18,58,POR
R. Corlu,Roma,18,58,"COC, CC"
G. Poluzzi,SPAL,18,58,POR
M. Meli,Fiorentina,18,58,AD
M. Nicoletti,Crotone,18,57,TS
G. Cuomo,Crotone,18,57,DC
P. Bochniewicz,Udinese,18,56,DC
S. Ingelsson,Udinese,18,56,ED
A. Diakhate,Fiorentina,18,56,CC
R. Piscitelli,Benevento,18,55,POR
F. Ravaglia,Bologna,18,55,POR
T. Krapikas,Sampdoria,18,54,POR
L. Marson,Sassuolo,18,54,POR
E. Brignola,Benevento,18,53,"ATT, AD"
A. Zerbin,Napoli,18,53,AS
D. Borsellini,Udinese,18,53,POR
A. Viscovo,Crotone,18,51,POR
M. Cerofolini,Fiorentina,18,48,POR
Cristiano Ronaldo,Juventus,19,94,"ATT, AS"
G. Chiellini,Juventus,19,89,DC
P. Dybala,Juventus,19,89,"COC, ATT, AT"
S. Handanovič,Inter,19,88,POR
G. Higuaín,Milan,19,88,ATT
L. Insigne,Napoli,19,88,AS
M. Hamšík,Napoli,19,87,CC
D. Mertens,Napoli,19,87,"AT, ATT"
C. Immobile,Lazio,19,87,ATT
K. Koulibaly,Napoli,19,87,DC
M. Icardi,Inter,19,87,ATT
M. Benatia,Juventus,19,86,DC
M. Pjanić,Juventus,19,86,"CC, CDC"
I. Perišić,Inter,19,86,ES
L. Bonucci,Juventus,19,86,DC
Douglas Costa,Juventus,19,86,"ES, AD, AS"
Alex Sandro,Juventus,19,86,"TS, ES"
Miranda,Inter,19,85,DC
B. Matuidi,Juventus,19,85,"CDC, CC"
R. Nainggolan,Inter,19,85,"CC, COC"
S. Khedira,Juventus,19,85,"CC, CDC"
E. Džeko,Roma,19,85,ATT
K. Manolas,Roma,19,85,DC
S. Milinković-Savić,Lazio,19,85,"CC, COC"
M. Škriniar,Inter,19,85,DC
A. Barzagli,Juventus,19,84,DC
A. Gómez,Atalanta,19,84,"AT, AS, ATT"
Raúl Albiol,Napoli,19,84,DC
M. Mandžukić,Juventus,19,84,"ATT, AS"
José Callejón,Napoli,19,84,AD
W. Szczęsny,Juventus,19,84,POR
J. Cuadrado,Juventus,19,84,"ED, AD"
M. Perin,Juventus,19,84,POR
S. de Vrij,Inter,19,84,DC
Pepe Reina,Milan,19,83,POR
D. De Rossi,Roma,19,83,CDC
Lucas Leiva,Lazio,19,83,"CDC, DC"
K. Strootman,Roma,19,83,"CC, CDC"
Samu Castillejo,Milan,19,83,"ED, ES, CC"
L. Biglia,Milan,19,82,"CDC, CC"
A. Consigli,Sassuolo,19,82,POR
S. Sirigu,Torino,19,82,POR
Marcano,Roma,19,82,DC
F. Fazio,Roma,19,82,DC
M. Parolo,Lazio,19,82,"CDC, CC"
A. Kolarov,Roma,19,82,"TS, DC"
S. Nzonzi,Roma,19,82,"CDC, CC"
G. Bonaventura,Milan,19,82,"CC, AS"
J. Pastore,Roma,19,82,"CC, AS, AD"
Luis Alberto,Lazio,19,82,"AT, COC, CC"
F. Acerbi,Lazio,19,82,DC
Allan,Napoli,19,82,CC
Suso,Milan,19,82,"AD, AT"
S. Zaza,Torino,19,82,ATT
A. Florenzi,Roma,19,82,"TD, AD, CC"
A. Belotti,Torino,19,82,ATT
A. Romagnoli,Milan,19,82,DC
D. Rugani,Juventus,19,82,DC
F. Bernardeschi,Juventus,19,82,"ED, AT"
G. Donnarumma,Milan,19,82,POR
Borja Valero,Inter,19,81,"COC, CDC"
D. Criscito,Genoa,19,81,"TS, DC"
A. Candreva,Inter,19,81,ED
K. Boateng,Sassuolo,19,81,"CC, ATT, COC, ES"
D. Perotti,Roma,19,81,"AS, AT"
S. El Shaarawy,Roma,19,81,"AS, AD"
S. Verdi,Napoli,19,81,"AD, COC"
J. Iličić,Atalanta,19,81,"AT, COC"
F. Ghoulam,Napoli,19,81,TS
Š. Vrsaljko,Inter,19,81,"TD, TS"
João Cancelo,Juventus,19,81,TD
E. Hysaj,Napoli,19,81,TD
João Mário,Inter,19,81,"COC, AS, CC, ED"
Fabián,Napoli,19,81,"CC, CDC, COC"
S. Sorrentino,Chievo Verona,19,80,POR
A. Mirante,Roma,19,80,POR
F. Quagliarella,Sampdoria,19,80,ATT
Ş. Radu,Lazio,19,80,"DC, TS"
V. Birsa,Chievo Verona,19,80,"COC, AD"
M. Musacchio,Milan,19,80,DC
N. Nkoulou,Torino,19,80,DC
Iago Falqué,Torino,19,80,"AD, ATT"
A. Ljajić,Torino,19,80,"COC, AS"
R. Rodríguez,Milan,19,80,"TS, DC"
M. Badelj,Lazio,19,80,"CDC, CC"
A. Milik,Napoli,19,80,ATT
H. Çalhanoğlu,Milan,19,80,"AS, COC"
E. Can,Juventus,19,80,"CC, CDC"
P. Zieliński,Napoli,19,80,CC
T. Strakosha,Lazio,19,80,POR
K. Baldé,Inter,19,80,"ED, ATT, ES"
M. Brozović,Inter,19,80,"CDC, COC, CC"
M. Politano,Inter,19,80,"AS, ATT, AD"
T. Bakayoko,Milan,19,80,"CDC, CC"
M. Vecino,Inter,19,80,"CDC, CC"
M. Caldara,Milan,19,80,DC
A. Masiello,Atalanta,19,79,DC
O. Karnezis,Napoli,19,79,POR
K. Asamoah,Inter,19,79,"TS, ES, CC"
G. Pezzella,Fiorentina,19,79,DC
G. Ramírez,Sampdoria,19,79,COC
D. Baselli,Torino,19,79,CC
L. Martínez,Inter,19,79,ATT
R. Montolivo,Milan,19,78,"CDC, CC"
D. Basta,Lazio,19,78,"TD, ED"
I. Abate,Milan,19,78,TD
K. Mirallas,Fiorentina,19,78,"ES, AS, ATT"
C. Ansaldi,Torino,19,78,"TS, ES"
D. Ospina,Napoli,19,78,POR
C. Zapata,Milan,19,78,DC
S. De Maio,Bologna,19,78,DC
M. Cáceres,Lazio,19,78,"DC, TD"
Rafael Tolói,Atalanta,19,78,DC
S. Lulić,Lazio,19,78,"ES, TS, CC"
E. Berisha,Atalanta,19,78,POR
R. Soriano,Torino,19,78,"ES, CC, COC"
Juan Jesus,Roma,19,78,"DC, TS"
R. Saponara,Sampdoria,19,78,COC
J. Veretout,Fiorentina,19,78,"CC, CDC"
Mário Rui,Napoli,19,78,TS
L. Castro,Cagliari,19,78,"CC, ED"
L. Pavoletti,Cagliari,19,78,ATT
V. Chiricheş,Napoli,19,78,DC
M. De Sciglio,Juventus,19,78,"TD, TS"
B. Cristante,Roma,19,78,"CC, COC"
D. Berardi,Sassuolo,19,78,"AD, ATT"
R. Gagliardini,Inter,19,78,"CDC, CC"
D. Laxalt,Milan,19,78,ES
E. Rigoni,Atalanta,19,78,"ED, ES, AD"
D. Zapata,Atalanta,19,78,ATT
N. Maksimović,Napoli,19,78,DC
M. Sportiello,Frosinone,19,78,POR
Bastos,Lazio,19,78,DC
G. Simeone,Fiorentina,19,78,ATT
A. Marušić,Lazio,19,78,"ED, TD, TS"
L. Pellegrini,Roma,19,78,CC
F. Kessié,Milan,19,78,CC
B. Džemaili,Bologna,19,77,"CC, COC"
F. Marchetti,Genoa,19,77,POR
R. Klavan,Cagliari,19,77,DC
R. Palacio,Bologna,19,77,"ATT, AS"
Danilo,Bologna,19,77,DC
L. De Silvestri,Torino,19,77,"TD, ED"
Gervinho,Parma,19,77,"AS, AD, ATT"
P. Hetemaj,Chievo Verona,19,77,"CC, ES"
F. Caicedo,Lazio,19,77,ATT
A. Poli,Bologna,19,77,CC
I. Radovanović,Chievo Verona,19,77,"CDC, DC"
T. Rincón,Torino,19,77,"CC, CDC"
A. Bertolacci,Milan,19,77,"CC, CDC"
E. Giaccherini,Chievo Verona,19,77,"AS, CC"
R. Inglese,Parma,19,77,ATT
L. Tonelli,Sampdoria,19,77,DC
L. Spinazzola,Juventus,19,77,"ES, TS"
M. Niang,Torino,19,77,"AS, ATT"
J. Lukaku,Lazio,19,77,"ES, TS"
G. González,Bologna,19,77,DC
M. Benassi,Fiorentina,19,77,CC
E. Pulgar,Bologna,19,77,"CDC, CC"
L. López,Genoa,19,77,DC
J. Correa,Lazio,19,77,"ES, ATT, COC"
K. Lasagna,Udinese,19,77,ATT
D. Calabria,Milan,19,77,TD
A. Diawara,Napoli,19,77,"CC, CDC"
A. Lafont,Fiorentina,19,77,POR
P. Schick,Roma,19,77,"ATT, AD"
F. Chiesa,Fiorentina,19,77,"AD, AT"
C. Ünder,Roma,19,77,"AD, AS"
A. Barák,Udinese,19,77,"CC, COC"
P. Cutrone,Milan,19,77,ATT
S. Proto,Lazio,19,76,POR
F. Magnanelli,Sassuolo,19,76,CDC
M. Silvestre,Empoli,19,76,DC
V. Behrami,Udinese,19,76,"CDC, CC"
C. Théréau,Fiorentina,19,76,"AS, AT"
L. Antonelli,Empoli,19,76,TS
A. Ekdal,Sampdoria,19,76,"CC, CDC, DC"
A. Ranocchia,Inter,19,76,DC
L. Rossettini,Chievo Verona,19,76,DC
F. Borini,Milan,19,76,"AS, ED"
A. Paloschi,SPAL,19,76,ATT
M. Antenucci,SPAL,19,76,"ATT, AT"
Ł. Skorupski,Bologna,19,76,POR
V. Berisha,Lazio,19,76,"ES, CC, COC"
M. Destro,Bologna,19,76,ATT
Rômulo,Genoa,19,76,"ED, TD, CC"
K. Babacar,Sassuolo,19,76,ATT
D. D'Ambrosio,Inter,19,76,"TS, TD"
K. Malcuit,Napoli,19,76,"TD, ED"
D. Praet,Sampdoria,19,76,"CC, COC"
Ł. Teodorczyk,Udinese,19,76,ATT
V. Eysseric,Fiorentina,19,76,"AS, AD"
R. Freuler,Atalanta,19,76,CC
F. Viviani,SPAL,19,76,"CC, CDC"
G. Defrel,Sampdoria,19,76,"ATT, AD"
J. Campbell,Frosinone,19,76,"AD, AS, COC"
M. de Roon,Atalanta,19,76,"CC, CDC"
G. Lapadula,Genoa,19,76,ATT
R. Durmisi,Lazio,19,76,"TS, ASA"
K. Linetty,Sampdoria,19,76,CC
Iuri Medeiros,Genoa,19,76,"ED, AD"
F. Di Francesco,Sassuolo,19,76,"AS, AD"
A. Izzo,Torino,19,76,DC
A. Halilović,Milan,19,76,"ED, COC"
Wallace,Lazio,19,76,DC
J. Palomino,Atalanta,19,76,DC
G. Donsah,Bologna,19,76,CC
R. Karsdorp,Roma,19,76,TD
M. Pašalić,Atalanta,19,76,"CC, CDC"
N. Barella,Cagliari,19,76,CC
Alex Berenguer,Torino,19,76,"ES, ASA"
J. Jankto,Sampdoria,19,76,"CC, ES"
Vitor Hugo,Fiorentina,19,76,DC
R. Bentancur,Juventus,19,76,CC
Dalbert,Inter,19,76,TS
M. Pjaca,Fiorentina,19,76,AS
A. Ćorić,Roma,19,76,COC
M. Lazzari,SPAL,19,76,ED
M. Rog,Napoli,19,76,CC
Felipe,SPAL,19,75,DC
E. Moretti,Torino,19,75,DC
G. Pandev,Genoa,19,75,"ATT, COC"
Rafael,Cagliari,19,75,POR
N. Spolli,Genoa,19,75,DC
L. Cigarini,Cagliari,19,75,"CC, CDC"
S. Missiroli,SPAL,19,75,CC
M. Valdifiori,SPAL,19,75,"CDC, CC"
F. Caputo,Empoli,19,75,ATT
D. Santon,Roma,19,75,"TS, TD"
Sandro,Genoa,19,75,"CDC, CC"
E. Zukanović,Genoa,19,75,DC
E. Badu,Udinese,19,75,"CC, CDC"
M. Gonalons,Roma,19,75,"CDC, CC"
N. Tomović,Chievo Verona,19,75,"DC, TD"
L. Krejčí,Bologna,19,75,"AS, AD, ED"
C. Ciano,Frosinone,19,75,"COC, ATT"
C. Biraghi,Fiorentina,19,75,"TS, ES"
A. Cornelius,Atalanta,19,75,ATT
A. Gomis,SPAL,19,75,POR
J. Kurtić,SPAL,19,75,"CC, COC, AT"
S. Meïté,Torino,19,75,"CDC, CC"
A. Cragno,Cagliari,19,75,POR
A. Younes,Napoli,19,75,AS
F. Helander,Bologna,19,75,DC
R. Olsen,Roma,19,75,POR
A. Duncan,Sassuolo,19,75,CC
D. Machís,Udinese,19,75,"AS, ES, COC"
D. Cataldi,Lazio,19,75,"CC, CDC"
R. De Paul,Udinese,19,75,"AT, AD, COC"
A. Petagna,SPAL,19,75,ATT
Marlon Santos,Sassuolo,19,75,DC
